[2026-06-23T00:14:18.610Z] GET http://localhost:9123/ → 200 (7ms, 13647B)
[2026-06-23T00:14:18.619Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&family=JetBrains+Mono:wght@400;500&display=swap → pending (?ms, ?B)
[2026-06-23T00:14:18.619Z] GET https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.0/css/all.min.css → pending (?ms, ?B)
[2026-06-23T00:14:19.513Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (240ms, 48432B)
[2026-06-23T00:14:19.513Z] GET https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.0/webfonts/fa-solid-900.woff2 → pending (?ms, ?B)
[2026-06-23T00:14:19.513Z] GET https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.0/webfonts/fa-brands-400.woff2 → pending (?ms, ?B)
[2026-06-23T00:14:19.513Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → pending (?ms, ?B)
[2026-06-23T00:22:43.911Z] GET http://localhost:9123/ → 200 (52ms, 13694B)
[2026-06-23T00:22:44.079Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&family=JetBrains+Mono:wght@400;500&display=swap → 200 (1ms, 15070B)
[2026-06-23T00:22:44.081Z] GET https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.0/css/all.min.css → 200 (?ms, 102526B)
[2026-06-23T00:22:44.082Z] GET http://localhost:9123/avatar.png → 200 (1ms, 471137B)
[2026-06-23T00:22:44.115Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (1ms, ?B)
[2026-06-23T00:22:44.116Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (1ms, ?B)
[2026-06-23T00:22:44.117Z] GET https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.0/webfonts/fa-brands-400.woff2 → 200 (?ms, ?B)
[2026-06-23T00:22:44.117Z] GET https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.0/webfonts/fa-solid-900.woff2 → 200 (?ms, ?B)
